Long,Lat,Site_Name,Cal.BC,Cal.BC.SD,Sample,Site_Type,Period_Author,Sub_Region,Country,Uncalibrated,SD,Domestics_Associated,Vida,Material,Type _c14,Quantity,Species,Database,Database_2,Reference,Comments,Period,Phase,Ceramic_Style,X26,X27,residuals
16.18444,43.73333,A karin Samograd,5690,96,HD 11950,NA,Neolithic,NA,Croatia,6780,50,NA,NA,bone,Conventional,NA,NA,NA,NA,Forenbaher & Miracle 2005,NA,NA,NA,NA,NA,NA,-6855.335208999783
-1.70138,42.99423,Abauntz,5849,864,I 11537,cueva,Neolitico,Arraitz-Orkin,Iberia,6910,450,No,Long,Carbon,Convencional,Aggregate,Indeterminado,NA,Bergin 2016,Utrilla  1982; Utrilla y Mazo  1993-94,NA,Neolitico,antiguo,NA,NA,NA,554.2022014596432
7.506111,43.813056,Abri de Pendimoun,5552,196,Ly 5692,rock shelter,C. Impressa,CASTELLAR,France,6610,110,NA,NA,GLANDS,NA,NA,NA,Shennan 2000 (online)  Pinhasi et al 2005,Bergin 2016,NA,NA,NA,NA,NA,NA,NA,-1090720.8380726767
5.314,43.519,Abri des Boeufs,5966,282,KN 1157,n/a,n/a,NA,France,7060,160,NA,NA,n/a,NA,NA,NA,RADON,NA,Manning  K.; Timpson  A.; Colledge  S.; Crema  E.; Shennan  S. (2015)  The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset.,NA,NA,n/a,NA,NA,NA,-194.53135429609756
6.61667,45.2,Abri du Roseau,5066,172,Ly 5923,rockshelter/cave,La Hoguette,NA,France,6140,70,NA,NA,collagen  bone,NA,NA,NA,RADON,NA,Trois petits tours et puis s’ en vont. La fin de la presence danubienne en Moyenne Belgique (avec la participation de D. Cahen I. Deramaix A. Hauzeur J. Heim  A. Livingstone Smith J. Verniers). Universite de Liege Liege 2003.,NA,NA,n/a,NA,NA,NA,-3435460743.599166
-0.56681,38.67216,Abric de la Falguera,5462,144,Beta 142289,cueva,Neolitico,Alcoi,Iberia,6510,80,Yes,Short,Semilla/fruto,AMS,Singular,T.  monococcum,NA,Bergin 2016,Bernabeu 2000,NA,Neolitico,antiguo,Cardial,NA,NA,-588.8008836837216
-4.665888,36.60555,Abrigo 6,4618,95,Col 1556,NA,Neolitico,Malaga,Iberia,5759,38,NA,Short,Hueso,AMS,Singular,NA,NA,Bergin 2016,Medved 2013,NA,Neolitico,antiguo,NA,NA,NA,-1128475289.7376893
-0.39962,40.74128,Abrigo de angel 2,5870,92,Beta 266112,cueva,Neolitico,Ladrunan-Castellote,Iberia,6990,50,No,Long,Carbon,NA,Singular,NA,NA,Bergin 2016,Domingo et al. (2010): Salvide 10 p. 225-235,NA,Neolitico,antiguo,Otra Impresa,NA,NA,512.5581260127146
-2.54584,41.18945,Abrigo de la Dehesa,5876,83,KIA 27671,cueva,Neolitico,Ambrona,Iberia,7013,38,No,Long,Carbon,AMS,Singular,Indeterminado,NA,Bergin 2016,Rojo et al. 2012,NA,Neolitico,antiguo,ImpresaCardial,NA,NA,885.138817538601
-1.60679,38.03946,Abrigo del Milano II,3970,610,I 14655,NA,Neolitico,Mula,Iberia,5220,280,NA,Short,Hueso,NA,NA,Humano,NA,Bergin 2016,Eiroa y Lomba 1998:87,NA,Neolitico,final,NA,NA,NA,-49753528061917.54
38.4,35.87,Abu Hureyra,9038,236,OxA 1228,NA,PPN,NA,Syria,9680,90,NA,NA,charcoal,NA,NA,---,NA,NA,"Gowlett 1987, Housley 1994",---,NA,NA,NA,NA,NA,-1665876.2194553404
16.5833,38.9,Acconia,5633,151,P 2949,NA,NA,Cosenza  Calabria,Italy,6710,80,NA,NA,NA,NA,NA,NA,c14_meso_dbase  Tine,Bergin 2016,NA,Stentinello,NA,NA,NA,NA,NA,-25294.79337333532
22.426778,39.264151,Achilleion,6501,314,LJ  4449,NA,EN,Western Aegean,NA,7540,140,NA,NA,Charcoal (unidentified),NA,NA,NA,14sea,NA,Gimbutas et al. 1989  24f.;,NA,NA,NA,NA,Ia,Test pit east,-86.36163718308762
15.157675,37.560262,Aci Trezza,5936,173,OxA 2485,NA,n/a,NA,Italy,7060,90,NA,NA,shell,1.6,NA,n/a,RADON,NA,Hedges,NA,NA,n/a,NA,NA,NA,-2.5084166170354365
35.94,31.93,Ain Ghazal,8468,325,GrN 12966,NA,MPPNB-1,NA,Jordan,9200,110,NA,NA,charcoal,NA,NA,---,NA,NA,"Rollefson and Simmons 1987, Rollefson et al. 1992, Rollefson 1998b",Banadora: PPNB moyen 1,NA,NA,NA,NA,NA,-495289152.3849966
-1.25603,42.94637,Aizpea,5300,157,GrN 18421,cueva,Neolitico,Aribe,Iberia,6370,70,No,Short,Hueso,Convencional,Aggregate,No determinado,NA,Bergin 2016,Barandiaran y Cava (2001): Veleia  Serie Maior 10,NA,Neolitico,antiguo,OtraImpresa,NA,NA,-7690.599426745584
22.684417,44.595484,Ajmana,5988,131,AA  58322,NA,NA,Lower Danube West,NA,7113,53,NA,NA,Human skull,NA,NA,NA,14sea,NA,Boric & Price 2013: SI Table 1; Bonsall et al. 2015: 44  Table 4;,FRE-corrected date BP as per Bonsall et al. (2015  Table 4),NA,NA,NA,Early/Middle Neolithic,Burial 7,-1170786.2500061507
38.02,36.92,Akarcay Tepe,7867,175,Beta 138548,NA,MPPNB?,NA,Turkey,8750,40,NA,NA,charcoal,NA,NA,---,NA,NA,"Arimura et al. 2000a, Balkan-Atl_ et al. 2002, Thissen 2002a",---,NA,NA,NA,NA,NA,-559922490934280.06
8.0333,44.70176,Alba,4944,209,GX 20845,NA,NA,NA,Italy,6030,80,NA,NA,charcoal,NA,NA,NA,Pinhasi et al 2005,Bergin 2016,NA,NA,NA,NA,NA,NA,NA,-32790965277.1912
-5.63534,36.81719,Alberite,4136,157,Beta 80602,NA,Neolitico,Villamartin,Iberia,5320,70,Yes,Long,Carbon,NA,NA,NA,NA,Bergin 2016,Ramos Munoz  J  y Giles Pacheco  F. 1996,NA,Neolitico,final,NA,NA,NA,-5723829221142.142
-8.60247,37.1427,Alcalar 7,5146,186,Sac 1608,NA,Neolitico,Portimao,Iberia,6200,70,Yes,Short,Malacofauna,Convencional,Aggregate,Ruditapes,NA,Bergin 2016,Carvalho 2008,NA,Neolitico,indeterminado,NA,NA,NA,-577259.9835036158
5.35,45.6833,Alfort,4937,162,Ly 386,n/a,n/a,NA,France,6000,60,NA,NA,n/a,NA,NA,NA,RADON,NA,Manning  K.; Timpson  A.; Colledge  S.; Crema  E.; Shennan  S. (2015)  The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset.,NA,NA,n/a,NA,NA,NA,-10441266449.985529
27.64,42.43,Alibeg,6076,205,Bln  1193,NA,NA,Lower Danube West,NA,7195,100,NA,NA,Charcoal,NA,NA,NA,14sea,NA,Boronean_ 2000: 203; Dinu et al. 2007: Tab. 2; Boric 2011  App. 1;,NA,NA,NA,NA,NA,Horizon II  S.II,-330752078.6144636
-8.541584,39.480726,Almonda / Galeria da Cisterna,5415,87,OxA 9287,cueva,Neolitico,Torres Novas,Iberia,6445,45,Yes,Short,Hueso,AMS,Singular,Adorno,NA,Bergin 2016,Zilhao 2001,NA,Neolitico,antiguo,Cardial,NA,NA,-5720.831404648502
-3.49668,42.44583,Alto de Rodilla,5083,140,CSIC 1967,NA,Neolitico,Monasterio de Rodilla,Iberia,6171,55,Yes,Short,Hueso,AMS,Singular,Humano,NA,Bergin 2016,Garcia Martinez de Lagran (2012) :Tesis   p.892-893,NA,Neolitico,antiguo,Epicardial,NA,NA,-306046.1789043455
22,41.8,Amzabegovo,6414,141,LJ  2519,NA,Starcevo,Central Balkans South,Republic of Macedon,7560,70,NA,NA,Charcoal (unidentified),NA,NA,NA,14sea,NA,Linick 1977: 23;,NA,NA,NA,NA,Nd,Square L  level 16,-261.0891635881626
18.98,45.67,Apatin,5989,138,GrN 15973,NA,Star_evo,NA,NA,7130,60,NA,NA,bone,NA,NA,NA,NA,NA,"R. Pinhasi, J. Fort & A. Ammerman, Tracing the origin and spread of agriculture in Europe. PLoS Biology 3(12): e410. doi: 10.1371/journal.pbio.0030410, Suppl. Info. 1.",NA,NA,NA,NA,NA,NA,-1247.230647183167
9.16,41.38,Araguina Sennola,5548,272,Gif 2325,rock shelter,Cardial,NA,France,6650,140,NA,NA,charcoal,NA,NA,NA,Shennan 2000 (online)  Pinhasi et al 2005,Bergin 2016,Radiocarbon VOL 28 Na¦1 P.20,NA,NA,NA,NA,NA,NA,-695867.4892639007
36.52,35.92,Aray 2,7692,965,N 5974,NA,PN,NA,Syria,8550,470,NA,NA,charcoal,NA,NA,---,NA,NA,Iwasaki and Tsuneki (eds.) 2003,period El-Rouj 2c,NA,NA,NA,NA,NA,-1107818152992196.2
36.13,34.1,Ard Tlaili,5796,244,K 1432,NA,Neo.,NA,Lebanon,6870,130,NA,NA,charcoal,NA,NA,---,NA,NA,"Kirkbride 1969, Kuijt and Bar-Yosef 1994","Banadora: niv. ancien,",NA,NA,NA,NA,NA,-4802822553825822e13
-3.11421,43.27394,Arenaza,4962,198,OxA 7157,cueva,Neolitico,San Pedro de Galdamez,Iberia,6040,75,Yes,Short,Hueso,AMS,Singular,Bos Taurus,NA,Bergin 2016,Arias et al. 1999,NA,Neolitico,antiguo,Epicardial,NA,NA,-2259548.325141416
8.328368,44.16214,Arene Candide,5876,207,UB 2423,NA,Finale Ligure,NA,Italy,6980,115,NA,NA,Desconocido,NA,NA,NA,Shennan 2000 (online)  Pinhasi et al 2005,Bergin 2016,Binder 2003,Ligurian Impressed Ware   named   Caverna delle   TP2003,NA,NA,NA,NA,NA,-3797.0657489447026
-3.68789,40.37936,Arenero de los Vascos,5251,805,AdlV*3,NA,Neolitico,Villaverde,Iberia,6430,450,NA,Long,Otros,TL,NA,Ceramica,NA,Bergin 2016,NA,NA,Neolitico,antiguo,Epicardial,NA,NA,-18115.720970141472
-3.6869,40.37511,Arenero de Valdivia,5126,852,AdV*2,NA,Neolitico,Madrid,Iberia,6324,480,NA,Long,Otros,TL,NA,Ceramica,NA,Bergin 2016,NA,NA,Neolitico,antiguo,Epicardial,NA,NA,-152741.4217566747
22.46666667,39.63333333,Argissa Magoula,7087,263,UCLA  1657A,NA,EN I,Western Aegean,NA,8130,100,NA,NA,Bone (Ovis),NA,NA,NA,14sea,NA,Reingruber 2008  157; Coleman 1992  209; Milojcic 1973  250; Protsch & Berger 1973,NA,NA,NA,NA,Preceramic,nd,47045.13686374596
3.92,44.85,Arlempdes le Suc,4906,328,Ly 41057,n/a,n/a,NA,France,5980,150,NA,NA,n/a,NA,NA,NA,RADON,NA,Manning  K.; Timpson  A.; Colledge  S.; Crema  E.; Shennan  S. (2015)  The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset.,NA,NA,n/a,NA,NA,NA,-2104264790.3562505
8.338403,44.214089,Arma dell'Aquila,5140,201,Bln 3450,NA,Cardial,Savona  Liguria,Italy,6240,90,NA,NA,charcoal,NA,NA,NA,Pinhasi et al 2005  Manen & Sabatier 2003  34,Bergin 2016,NA,42.3667 13.3667 OLD/ Incorrect,NA,NA,NA,NA,NA,-1070961976.0394278
8.016011504,44.10330879,Arma dello Stefanin,5541,104,Bln 3276,Cave,Ligurien,NA,Italy,6610,60,NA,NA,NA,NA,NA,NA,Pinhasi et al 2005  Manen & Sabatier 2003 39,Bergin 2016,Location From Italian Site Database,NA,NA,NA,NA,NA,NA,-1257374.7266356992
8.0333,44.1167,Arma di Nasino,5397,135,R 313,NA,Ligurien,Savona  Liguria,Italy,6420,65,NA,NA,charcoal,NA,NA,NA,Pinhasi et al 2005,Bergin 2016,Location From Italian Site Database,NA,NA,NA,NA,NA,NA,-14573097.197997995
2.99252,42.42716,Arreganyats,4211,224,UGRA 148,NA,Neolitico,Espolla,Iberia,5400,100,Yes,Long,Carbon,NA,NA,NA,NA,Bergin 2016,Tarrus 1988:45,NA,Neolitico,final,NA,NA,NA,-64384748301729.125
27.21666667,41.73333333,Asagi Pinar,5811,102,Bln  4996,NA,Karanovo I,Thrace,NA,6909,48,NA,NA,Cereals,NA,NA,NA,14sea,NA,GOrsdorf 2005: 417;,NA,NA,NA,NA,Older than 6,Trench 8L/69,-8069337921.059399
34.5,31.61,Ashkelon,6971,294,OxA 7882*,NA,PPNC,NA,Israel Palestine,8000,110,NA,NA,soil,NA,NA,ash,NA,NA,Garfinkel 1999b,---,NA,NA,NA,NA,NA,-431656715669841860
